ID,Segmentation
458989,A
458994,B
459000,C
459003,C
459005,C
459008,C
459013,C
459014,D
459015,D
459016,D
459024,C
459026,D
459032,D
459033,B
459036,D
459039,C
459041,B
459045,B
459058,A
459061,A
459064,D
459074,D
459077,B
459080,A
459083,C
459090,A
459091,C
459093,C
459100,C
459106,C
459114,C
459116,C
459117,C
459119,C
459120,D
459121,C
459123,C
459130,A
459132,D
459136,C
459140,D
459143,B
459150,B
459160,C
459161,C
459162,B
459163,A
459167,C
459170,B
459171,C
459172,D
459175,C
459181,C
459182,C
459184,A
459185,A
459193,A
459194,C
459196,D
459208,C
459209,D
459210,C
459212,C
459213,A
459216,C
459220,B
459222,C
459223,C
459224,C
459227,A
459229,B
459236,B
459237,D
459244,B
459247,B
459263,D
459264,B
459266,D
459270,B
459284,C
459287,A
459288,C
459289,A
459290,C
459292,B
459296,C
459307,A
459310,A
459316,D
459318,D
459320,D
459322,D
459339,D
459344,C
459347,A
459349,C
459352,B
459353,C
459362,A
459363,B
459364,B
459375,A
459377,C
459383,A
459384,C
459385,C
459386,B
459391,A
459394,D
459397,C
459401,D
459405,A
459407,A
459409,B
459410,C
459415,D
459418,B
459419,C
459420,B
459421,D
459423,D
459428,D
459432,A
459436,C
459439,C
459445,C
459447,B
459451,C
459459,A
459461,B
459466,C
459467,C
459480,A
459481,A
459482,D
459497,A
459503,B
459509,D
459512,B
459515,A
459535,C
459536,D
459538,A
459541,C
459549,D
459555,A
459558,D
459564,D
459566,B
459567,C
459571,C
459579,C
459583,B
459585,C
459587,A
459588,B
459591,C
459592,D
459594,B
459597,C
459603,A
459607,B
459617,D
459618,C
459625,A
459626,A
459632,D
459644,D
459658,C
459664,A
459665,A
459672,B
459673,A
459678,D
459686,B
459692,C
459693,C
459701,B
459711,A
459715,D
459718,D
459725,C
459740,D
459742,B
459745,B
459747,C
459748,B
459756,B
459760,B
459767,D
459779,A
459780,A
459795,B
459801,A
459804,B
459806,B
459815,A
459822,A
459825,D
459832,B
459845,D
459851,B
459853,D
459856,B
459857,D
459861,A
459867,C
459869,D
459871,A
459886,A
459887,C
459889,C
459897,B
459909,A
459910,C
459911,D
459914,B
459923,D
459925,B
459937,B
459943,A
459945,C
459946,C
459949,B
459953,A
459961,C
459962,B
459966,A
459968,A
459970,A
459973,C
459974,A
459975,B
459981,B
459986,B
459995,C
459996,A
459998,B
460004,B
460006,D
460014,D
460023,A
460040,B
460045,B
460046,C
460050,A
460051,A
460052,A
460058,B
460061,D
460066,D
460068,B
460073,A
460079,A
460081,A
460090,A
460093,B
460095,B
460101,D
460103,A
460105,B
460107,C
460108,C
460109,C
460110,C
460112,A
460118,C
460119,D
460122,A
460124,A
460134,A
460135,D
460140,B
460141,A
460146,C
460147,C
460160,A
460162,D
460166,D
460167,D
460168,B
460171,C
460174,A
460175,A
460177,B
460179,B
460183,A
460185,D
460187,A
460189,D
460190,D
460196,D
460206,A
460212,D
460214,C
460223,A
460227,D
460242,D
460243,A
460248,D
460252,A
460263,A
460265,C
460270,A
460272,D
460275,C
460276,C
460281,D
460283,A
460284,A
460287,B
460289,C
460298,A
460303,B
460306,D
460310,D
460315,D
460319,A
460323,A
460324,A
460327,A
460333,A
460336,B
460340,C
460341,D
460344,C
460348,C
460354,B
460356,D
460358,D
460361,B
460362,A
460365,B
460370,A
460371,A
460378,A
460379,A
460380,D
460381,A
460384,D
460387,A
